CUTOFF,POOL,LOANID,LIEN,ORIG BAL,CURR BAL,FOREBEAR_BAL,SRBAL,JRBAL,APPR VAL,PURCH PX,BPO DATE,BPO,BPO QS,BPO AGE,LTV(T),LTV(a),CLTV,SS FLAG,ORIG RATE,RATE,ORIG PMT,CURR PMT,ORIG DATE,FIRST DUE,PAID TO DATE,NEXT DUE,MAT DATE,OTERM,AGE,RTERM,ATERM,BALL FLAG,IO TERM,IO RTERM,IO FLAG,STATE,ZIP,CBSA,CBSA NAME,MARGIN,ARM_FLAG,FIRST_CAP,PERIODIC_CAP,LIFE_CAP,MAX_RATE,FLOOR_RATE,FIRST_RATE_CHANGE_DATE,FIRST_PI_CHANGE_DATE,MONTHS_TO_FIRST_ROL,NEXT_PI_CHG_DATE,ROLL_FREQ,ARM_LOOKBACK,PRODTYPE,LOAN_PURP,PROPTYPE,DOCTYPE,OCC,BK_FLAG,BK_TYPE,BK_DATE,FC_FLAG,FC_DATE,REO_FLAG,MOD_FLAG,MOD_AGE,STEP_RATE_LOAN,ORIG_FICO,CURR_FICO,CURR_FICO_DATE,BACK_RATIO,DQ,INDEX,PMTS1,PMTS3,PMTS6,PMTS12,MSLP,PAYSTRING,MI_PCT,MI_FLAG,MI_COMPANY,ESCROW_ADV,CORP_ADV,DQ_INT,STEP_DT_1,STEP_DT_2,STEP_DT_3,STEP_DT_4,STEP_DT_5,STEP_DT_6,STEP_DT_7,STEP_DT_8,STEP_DT_9,STEP_DT_10,STEP_RT_1,STEP_RT_2,STEP_RT_3,STEP_RT_4,STEP_RT_5,STEP_RT_6,STEP_RT_7,STEP_RT_8,STEP_RT_9,STEP_RT_10,PAL_BUCKET,RENTAL,RENTAL RATE,ALREADY RENTED?,TIME RENTED,FC STATUS,MAX FC DATE,MAX FC STAGE,TIME IN FC,TIME IN CURRENT STAGE,FC CREDIT,ACTIVE LOSS MIT,LOCATION,PAYHISTORY BUCKET,LISTED,PRA
08/31/2017,BAML $250MM Mixed - 2017.10,168129496,1,192000,116727.37,0,0,0,295000,0,09/25/2017,440000,418000,0,26.52894773,26.52894773,26.52894773,N,0,2,980,384.18,05/03/2007,07/01/2007,08/01/2017,09/01/2017,12/01/2052,546,122,424,546,Y,120,0,N,OR,97211,38900,Portland-Vancouver-Hillsboro OR-WA,0,N,0,0,0,0,0,,,,,0,,FIXED - Balloon,Rate Term,Single Family,Limited,Owner Occupied,N,0,,N,,N,Y,51,0,702,601,08/22/2017,,Current,,,3,6,12,0,000000000000000000000000000100000000100000000001200000000001233445567895000000000000000000000000000000000000000000100000000,0,N,,0,0,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Pristine 6 -PER_T2_L,0,0,,0,Inactive,,,0,0,0,0,Suburban,6M Pristine,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,169933138,1,280000,159417.19,0,0,35000,350000,0,09/25/2017,429000,407550,0,37.16018415,37.16018415,45.31869231,Y,0,2,1816.07,809.210022,07/05/2007,08/01/2007,08/01/2017,09/01/2017,07/01/2037,360,121,239,360,N,0,0,N,MA,2151,14460,Boston-Cambridge-Newton MA-NH,0,N,0,0,0,0,0,,,,,0,,FIXED - StepRate,Rate Term,Single Family,Limited,Owner Occupied,N,0,,N,,N,Y,58,1,666,630,04/29/2016,,Current,,,3,6,12,0,00000000000000000000123456789ABBCCDEFGHIJJKLMNOPQRSTUVWXYZZZZZZ00000000000000000000000000000000000000000000000000000000000,0,N,,0,0,0,10/01/2017,10/01/2018,,,,,,,,,3,3.375,0,0,0,0,0,0,0,0,Pristine 24-PER_T2_L,0,0,,0,Inactive,,,0,0,0,0,Urban,24M Pristine,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,170370525,1,351500,328908.42,0,0,0,375000,370000,09/23/2017,285000,270750,0,115.4064632,115.4064632,115.4064632,N,0,2,1977.19,1056.530029,08/30/2007,10/01/2007,08/01/2017,09/01/2017,04/01/2054,559,119,440,559,N,90,0,N,NV,89139,29820,Las Vegas-Henderson-Paradise NV,0,N,0,0,0,0,0,,,,,0,,FIXED - StepRate,Purchase,PUD,Limited,Owner Occupied,N,0,,N,,N,Y,29,1,730,684,08/23/2017,,Current,,,3,6,12,0,0000000000000123456789ABCDEFGHIJKLMNOPQRSTUVWXYZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ00001234565000000000000000000000000000000,0,N,,37.84,0,0,03/01/2020,03/01/2021,,,,,,,,,3,3.75,0,0,0,0,0,0,0,0,Pristine 24-PER_T1_H,0,0,,0,Inactive,,,0,0,0,0,Urban,24M Pristine,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,175103453,1,379500,286763.24,0,0,0,425000,421704,09/25/2017,477900,454005,0,60.00486294,60.00486294,60.00486294,N,0,4,2174.22,1345.660034,12/12/2007,02/01/2008,08/01/2017,09/01/2017,01/01/2051,516,115,401,516,N,120,5,Y,WA,98030,42660,Seattle-Tacoma-Bellevue WA,0,N,0,0,0,0,0,,,,,0,,FIXED - IO - StepRate,Purchase,PUD,Full,Owner Occupied,N,0,,N,,N,Y,78,1,703,515,02/27/2017,,Current,,,3,6,12,0,010112220123456789ABCDEFGHIHIJJKLMMMN1000000000000000000000000000000000000000000000000000000000000000000000000000000,25,Y,Radian,0,0,0,01/01/2018,,,,,,,,,,4.75,0,0,0,0,0,0,0,0,0,Pristine 24-PER_T3_L,0,0,,0,Inactive,,,0,0,0,0,Urban,24M Pristine,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,176076141,1,188595,246815.85,0,0,0,254000,0,09/24/2017,181900,172805,0,135.6876581,135.6876581,135.6876581,N,0,2,1454.75,908.5999756,08/17/2007,10/01/2007,07/01/2017,08/01/2017,09/01/2047,480,119,361,480,N,0,0,N,VA,23704,47260,Virginia Beach-Norfolk-Newport News VA-NC,0,N,0,0,0,0,0,,,,,0,,FIXED - StepRate,Cash Out,Single Family,Stated,Owner Occupied,N,0,,N,,N,Y,2,1,563,526,08/15/2017,,Current,,,2,3,3,1,000000000000223456789ABCDEFGH000011222233333456789ABCBCCDEFGHHIJKLLM6634434343220123456789ABCCCC00112111111234567899A001,0,N,,0,500,411.35975,06/01/2017,06/01/2020,06/01/2021,,,,,,,,2,3,4,0,0,0,0,0,0,0,Spotty     -SUB_T2_H,0,0,,0,Inactive,,,0,0,0,0,Urban,30D,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,186358859,1,242500,425240.3,23232.46,0,0,450000,0,09/23/2017,369000,350550,0,121.5373333,115.2412737,121.5373333,N,0,2,1654.28,1289.48999,10/23/2008,12/01/2008,08/01/2017,09/01/2017,07/01/2057,584,105,479,584,Y,0,0,N,NYD,11729,35620,New York-Newark-Jersey City NY-NJ-PA,0,N,0,0,0,0,0,,,,,0,,FIXED - Balloon - StepRate,Cash Out,Single Family,Full,Owner Occupied,N,0,,N,,N,Y,0,1,603,623,08/23/2017,,Current,,,1,1,1,0,0000000000000001212233456789ABCDEFGHIJKLMNOPQRSTUVWXYZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ0,0,N,,2273.22,1545,0,07/01/2017,07/01/2020,07/01/2021,,,,,,,,2,3,3.875,0,0,0,0,0,0,0,Spotty     -SUB_T2_H,0,0,,0,Inactive,,,0,0,0,0,Urban,60+ Last 6,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,187186176,1,417000,483029.38,119842.31,0,0,560000,560000,08/31/2017,604138.8137,573931.873,0,99.79025951,79.95337645,99.79025951,N,0,2,2533.74,1474.839966,01/03/2008,02/01/2008,08/01/2017,09/01/2017,02/01/2057,589,115,474,573,Y,0,0,N,NC,28717,19000,Cullowhee NC,0,N,0,0,0,0,0,,,,,0,,FIXED - Balloon - StepRate,Cash Out,Single Family,Limited,Second Home,N,0,,N,,N,Y,5,1,662,739,03/23/2016,,Current,,,3,6,6,0,000000123456789AB001234445556677889ABCDEFGHIJKLMNOPQRSTUVWXYZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ000000,0,N,,0,1070,0,02/01/2020,02/01/2021,02/01/2022,,,,,,,,3,4,4.25,0,0,0,0,0,0,0,Pristine 6 -PER_T2_L,0,0,,0,Inactive,,,0,0,0,0,Rural,6M Pristine,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,187197003,1,840000,700984.8,0,0,0,1100000,1050000,09/23/2017,1205000,1144750,0,58.17301245,58.17301245,58.17301245,N,0,3.875,5588.54,4163.100098,12/28/2007,02/01/2008,09/01/2017,10/01/2017,01/01/2038,360,115,245,360,N,0,0,N,TX,78669,12420,Austin-Round Rock TX,2.25,Y,5,2,12,12,2.25,,,,02/01/2018,12,,ARM,Purchase,PUD,Limited,Owner Occupied,N,0,,N,,N,N,0,0,732,578,08/14/2017,,Current,LIBOR 1Y,,3,6,12,0,00000000000000000000000000000000000000000000000000000000000000000000000000000000001010100000000001000011111111111000,0,N,,0,405,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Spotty     -PER_T3_L,0,0,,0,Inactive,,,0,0,0,0,Suburban,30 Only Last 6,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,191829975,1,962500,759588.1,0,0,0,1375000,1575000,09/25/2017,1410000,1339500,0,53.87149645,53.87149645,53.87149645,N,0,3.75,5313.8,3065.86,07/02/2008,09/01/2008,09/01/2017,10/01/2017,06/01/2057,586,108,478,586,N,106,0,N,NYD,11561,35620,New York-Newark-Jersey City NY-NJ-PA,0,N,0,0,0,0,0,,,,,0,,FIXED,Purchase,Single Family,Limited,Owner Occupied,N,0,,N,,N,Y,2,0,791,635,08/01/2017,,Current,,,3,6,6,0,01000000000000000000011001222333456789ABCDEFGHIJKLMMMN0000000000101100011123456789ABCDEFGHIJKLMNOPQRSTUTUU000,0,N,,9625.62,3100,0,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Spotty     -PER_T2_L,0,0,,0,Inactive,,,0,0,0,0,Urban,60+ Last 6,N,0
08/31/2017,BAML $250MM Mixed - 2017.10,196488086,1,363750,363750,0,0,0,485000,0,09/22/2017,665000,631750,0,54.69924812,54.69924812,54.69924812,N,0,5.625,1705.08,1705.08,12/22/2008,02/01/2009,07/01/2017,08/01/2017,01/01/2039,360,103,257,360,N,120,17,Y,CA,94521,41860,San Francisco-Oakland-Hayward CA,0,N,0,0,0,0,0,,,,,0,,FIXED - IO,Cash Out,Single Family,Full,Owner Occupied,N,0,,N,,N,N,0,0,791,502,08/03/2017,,Current,,,2,6,12,0,00000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111100121,0,N,,873.49,15,1705.078125,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Spotty     -SUB_T1_L,0,0,,0,Inactive,,,0,0,0,0,Urban,30D-MSLP0,N,0
